animation_name,length_sec,track_count,correct_hip,correct_xz,animation_type,weapon_attached,wired_connections,storage_domain,verified_for_use,skeleton,pack_or_folder,source_path,in_wiring_table,asset_exists,load_ok,notes
draw,1.0333,20,pipeline_locked_if_played,pipeline_locked_if_played,attack,longbow,grudge_pack:{attack} packs=longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,longbow,longbow/draw,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
idle,5.1,20,pipeline_locked_if_played,pipeline_locked_if_played,idle,longbow,grudge_pack:{idle} packs=longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,longbow,longbow/idle,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
run-forward,0.8667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,longbow,grudge_pack:{run} packs=longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,longbow,longbow/run-forward,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
walk-forward,1.2,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,longbow,grudge_pack:{walk} packs=longbow,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,longbow,longbow/walk-forward,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
standing-idle,1.8667,20,pipeline_locked_if_played,pipeline_locked_if_played,idle,magic,grudge_pack:{idle} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-idle,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
standing-run-back,0.6333,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,magic,grudge_pack:{runB} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-run-back,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
standing-run-forward,0.7333,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,magic,grudge_pack:{run} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-run-forward,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
standing-run-left,0.7667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,magic,grudge_pack:{runL} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-run-left,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
standing-run-right,0.7667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,magic,grudge_pack:{runR} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-run-right,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
standing-walk-back,1.2,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,magic,grudge_pack:{walkB} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-walk-back,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
standing-walk-forward,1.1333,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,magic,grudge_pack:{walk} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-walk-forward,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
standing-walk-left,1.1667,20,pipeline_locked_if_played,pipeline_locked_if_played,locomotion,magic,grudge_pack:{walkL} packs=magic,cdn:assets.grudge-studio.com/anims/baked,wired_cdn_ok,bip001,magic,magic/standing-walk-left,yes,yes,yes,Bip001 baked JSON; only plays on GrudgeAvatar after loadBakedClip
